source,author,Bias Specific,Bias Numeric,date,search,able,access,according,account,act,action,administration,agency,aid,american,assistance,bank,bankruptcy,based,benefit,best,biden,big,billion,borrower,brennan,budget,business,california,card,case,cfpb,change,child,college,come,community,company,congress,consumer,cost,country,court,credit,cut,data,day,debt,decision,democrat,department,did,doe,doesn,doge,dollar,don,donald,education,effort,employee,end,equity,executive,expert,family,federal,feel,finance,financial,forgiveness,free,fund,funding,future,getting,going,good,got,government,grant,group,ha,hard,health,help,high,higher,home,house,including,income,information,insurance,investment,issue,job,just,know,law,le,left,legal,lender,life,like,likely,line,ll,loan,long,look,low,make,making,management,margaret,market,mcmahon,mean,member,memo,million,money,month,mortgage,musk,national,need,new,number,offer,office,option,order,parent,pause,pay,payment,people,plan,policy,political,power,president,price,private,process,program,project,public,question,rate,really,relief,repayment,report,republican,retirement,right,risk,rule,said,save,saving,say,school,secretary,security,senator,service,social,spending,start,state,student,support,sure,tax,team,term,thing,think,time,today,told,took,trump,trying,tuesday,university,use,used,ve,vought,wa,want,washington,way,week,white,work,worker,working,year
Time,Chad De Guzman,Lean Left,-2.3,2025-01-14T10:45:36Z,student_loan_forgiveness,0,3,5,0,4,1,16,0,1,3,1,0,0,1,7,0,34,2,4,2,0,0,3,2,0,0,0,0,0,0,0,1,3,1,3,2,2,1,5,1,0,7,4,3,0,6,0,0,0,0,0,1,1,2,2,1,4,0,1,0,3,2,0,1,1,2,0,1,0,1,0,1,0,0,0,0,2,14,0,1,2,0,1,1,5,2,0,1,0,0,0,0,1,1,2,2,0,0,1,0,1,1,0,0,7,1,0,1,2,1,0,0,0,0,1,2,0,5,0,2,0,0,5,4,4,2,0,3,0,2,0,0,1,2,2,2,8,1,0,8,0,0,0,1,0,1,0,0,1,2,1,2,0,0,1,1,3,15,0,0,2,0,2,10,0,4,5,0,0,2,4,1,0,1,2,4,0,0,3,1,1,0,15,0,0,0,1,1,1,0,1,1,1,1,0,5,0,1,2,2
Yahoo Entertainment,Heather Altamirano,Lean Left,-1.95,2025-01-14T14:00:30Z,student_loan_forgiveness,3,0,3,0,1,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,1,5,1,0,2,3,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,3,0,2,1,1,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,1,3,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,2,0,1,0,4,0,0,0,1,0,0,0,0,2,3,0,2,0,0,1,1,0,0,3,0,0,0,0,1,0,3,3,6,1,0,6,11,0,0,2,0,2,0,6,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,3,0,1,6,0,4,0,2,0,16,0,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,2
NPR,Cory Turner,Lean Left,-2.0,2025-01-16T10:00:00Z,student_loan_forgiveness,0,1,2,0,1,1,9,0,7,4,0,0,0,0,0,0,37,3,4,10,0,0,0,0,1,0,0,1,0,4,2,3,0,7,0,0,2,9,0,0,0,1,6,1,1,16,5,0,0,0,3,0,1,27,8,0,2,0,3,8,1,7,1,0,4,17,1,0,6,2,1,3,0,3,1,1,1,6,2,0,4,3,0,0,1,3,3,1,0,0,1,1,4,4,1,0,3,2,0,0,2,5,0,1,19,1,2,2,5,0,0,2,0,0,2,0,0,4,5,2,0,0,2,3,3,1,0,4,0,2,0,1,2,0,3,7,2,2,1,9,1,0,0,4,1,2,0,0,3,4,3,1,3,0,3,0,1,4,2,0,16,16,12,0,0,5,0,0,2,1,29,1,1,0,8,2,5,5,7,0,2,1,3,1,0,1,0,2,1,0,26,1,1,4,4,1,5,0,0,11
Al Jazeera English,Al Jazeera,Lean Left,-2.3,2024-12-20T13:33:49Z,student_loan_forgiveness,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,6,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0,1,4,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,3,0,0,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2
Al Jazeera English,Somdeep Sen,Lean Left,-2.3,2024-12-23T11:08:46Z,student_loan_forgiveness,2,3,0,0,0,0,5,1,1,10,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,7,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,19,2,0,1,1,0,0,0,4,1,0,1,2,0,1,2,2,0,0,0,0,0,0,1,11,1,0,1,0,15,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,1,0,4,0,0,2,2,1,0,0,0,1,1,0,0,2,2,0,0,0,0,3,1,0,0,1,0,0,0,0,1,1,1,3,2,1,1,4,0,0,0,4,3,3,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,2,1,0,0,0,1,0,0,8,6,0,0,1,0,3,0,0,3,1,0,0,20,0,0,16,0,0,0,0,0,1,0,2,0,2,1,0,0,1
CBS News,CBS News,Lean Left,-1.5,2024-12-20T12:52:34Z,student_loan_forgiveness,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,9,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,4,0,3,0,1,0,4,0,0,2,1,0,0,3,1,1,0,0,0,0,0,0,4,0,0,1,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,1
CBS News,Christy Bieber,Lean Left,-1.5,2024-12-19T14:59:43Z,student_loan_forgiveness,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,5,0,1,0,4,0,0,1,0,1,0,0,0,0,3,2,0,0,0,0,2,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,4,0,3,2,1,1,0,0,0,1,0,2,0,0,0,1,2,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,1,5,0,3,0,0,4,33,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,3,1,6,1,1,0,1,4,1,0,0,0,0,0,0,9,2,0,0,0,0,17,0,0,2,0,0,0,0,1,0,0,0,0,7,3,0,0,0,0,0,0,4,0,12,0,1,0,0,6,1,0,7,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
CBS News,Hunter Geisel,Lean Left,-1.5,2025-01-16T18:23:36Z,student_loan_forgiveness,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,1,0,0,1,5,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,4,0,1,2,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,0,1,0,1,0,1,0,1,0,0,11,1,1,1,0,0,0,0,0,6,0,1,0,8,1,0,2,0,0,1,0,11,0,0,2,0,0,0,0,0,1
USA Today,Zachary Schermele,Lean Left,-2.0,2024-12-19T21:20:22Z,student_loan_forgiveness,0,0,0,0,0,0,2,1,0,1,0,0,0,3,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,4,0,0,0,0,0,3,0,6,1,1,0,0,0,0,3,2,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,7,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,9,1,0,2,6,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,3,0,1,0,0,0,0,1,4,8,4,12,0,0,0,1,0,0,0,7,0,2,1,0,0,3,7,0,0,0,0,0,0,3,8,1,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,6
Washington Monthly,Kevin Carey,Lean Left,-2.0,2025-01-06T00:30:00Z,student_loan_forgiveness,2,3,0,0,0,2,5,0,0,8,0,1,0,4,0,1,8,0,0,2,0,0,0,0,0,0,0,0,1,19,2,4,0,1,0,2,0,8,4,0,0,0,5,1,4,8,0,1,3,0,1,3,1,17,1,0,0,0,0,0,2,8,0,0,1,8,5,1,2,0,1,2,5,0,1,1,0,4,0,0,2,4,8,0,0,2,2,1,0,0,2,2,2,0,2,0,4,2,0,0,1,2,0,0,21,0,0,4,3,2,0,0,1,0,0,2,0,1,5,0,0,0,4,4,8,1,2,1,1,0,0,1,5,2,4,12,8,3,0,2,5,2,1,5,0,6,2,2,1,0,0,1,2,0,1,0,1,0,1,0,1,2,0,0,0,1,1,0,0,5,18,3,0,0,0,0,1,2,5,1,1,0,7,0,0,11,0,2,0,0,14,2,2,4,1,0,2,0,3,7
