source,author,Bias Specific,Bias Numeric,date,search,acceptance,access,according,act,action,administration,agency,aid,america,american,ap,area,art,best,biden,billion,bond,borrower,bradley,budget,business,california,campus,care,center,change,child,city,class,close,college,come,community,congress,control,cost,country,course,court,credit,cut,data,day,debt,decade,decision,democrat,department,doe,doge,don,donald,earnings,education,effort,employee,employment,end,enrollment,executive,expectancy,faculty,fafsa,family,federal,financial,forgiveness,free,friday,funding,going,government,graduation,grant,group,growth,ha,health,high,higher,home,house,including,income,increase,information,institute,institution,issue,job,judge,just,know,known,law,left,let,life,like,linda,live,loan,local,located,location,look,low,lower,make,making,massachusetts,median,million,monday,money,month,musk,nation,national,nearly,need,new,nonprofit,number,offer,office,opportunity,order,organization,parent,pause,pay,payment,people,personal,plan,policy,power,president,press,private,program,project,provide,public,rate,ratio,record,relief,repayment,report,republican,research,resource,right,said,save,say,school,science,secretary,security,service,social,spending,state,status,strong,student,study,support,supreme,tax,team,technology,term,think,time,today,trillion,trump,undergraduate,university,use,virginia,virginian,wa,want,washington,way,week,white,woman,work,worker,working,world,year,york,young
Boston Herald,Nerdwallet,Lean Right,2.0,2024-12-30T20:31:25Z,student_loan_forgiveness,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,5,0,0,0,5,0,2,0,4,0,0,1,0,0,6,0,1,0,0,3,0,0,0,0,1,3,5,15,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,2,12,2,0,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,16,0,0,0,0,0,2,3,1,0,0,1,0,4,0,0,0,1,1,1,2,1,0,1,2,1,0,0,1,3,2,13,1,0,16,1,0,0,0,0,1,0,0,2,1,0,0,1,14,0,0,0,0,1,0,9,8,1,0,0,0,2,0,0,1,0,0,14,0,0,0,0,0,0,2,1,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0
Boston Herald,Boston Herald,Lean Right,2.0,2024-12-26T05:25:39Z,student_loan_forgiveness,0,4,1,1,0,5,1,0,0,1,0,0,0,0,7,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,4,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,1,0,1,3,0,1,0,2,3,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,3,1,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,6,0,0,0,1,2,2,0,0,0,0,0,0,2
Boston Herald,Tribune News Service,Lean Right,2.0,2025-01-02T19:21:16Z,student_loan_forgiveness,0,2,6,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,9,0,0,4,2,0,1,0,0,3,0,0,1,4,0,0,2,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,16,0,0,2,2,0,1,0,0,0,0,0,0,1,2,0,9,27,2,0,0,0,1,4,2,0,1,0,2,1,0,0,1,0,2,1,0,22,3,0,2,1,0,0,0,0,3,1,3,0,3,0,1,0,3,2,0,2,2,2,0,12,0,0,2,0,1,0,0,0,0,1,0,4,0,0,6,0,1,0,1,7,0,0,2,0,0,0,0,0,1,1,0,0,0,17,2,0,2,0,0,0,1,1,0,33,0,0,1,5,3,0,5,0,1,1,2,0,0,0,0,0,4,3,9,0,0,1,4,0,1,1,2,2,1,0,0,16,7,3
New York Post,Steven Nelson,Lean Right,2.93,2025-01-13T20:22:38Z,student_loan_forgiveness,0,0,0,0,0,3,0,0,0,2,0,0,0,0,6,7,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,7,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
New York Post,Charles Gasparino,Lean Right,2.93,2025-01-05T03:14:45Z,student_loan_forgiveness,0,0,1,1,0,1,0,0,0,0,0,0,0,1,7,2,14,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,4,1,1,0,0,1,4,0,0,0,3,1,0,1,4,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,1,0,4,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,0,2,0,1,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,5,0,0,2,1,0,0,0,5,0,0,2,0,3,1,3,11,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,7,0,0
New York Post,Diana Glebova,Lean Right,2.93,2024-12-20T16:37:54Z,student_loan_forgiveness,0,0,0,0,1,3,0,0,0,2,0,0,0,0,9,5,0,3,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,3,0,0,0,1,6,0,2,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,1,1,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,6,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,3,0,1,6,0,0,1,0,0,3,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,8,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,2,0,0
New York Post,New York Post,Lean Right,2.93,2025-01-16T12:41:54Z,student_loan_forgiveness,0,0,0,0,3,6,2,1,0,1,0,0,0,0,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,3,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,1,0,0,0,4,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,1,0,0,0,0,0,1,0,0,2,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
Boston Herald,Boston Herald,Lean Right,2.0,2025-02-12T17:45:13Z,student_loan_forgiveness,0,0,0,1,1,1,0,0,1,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,23,0,0,0,0,0,0,8,2,3,0,1,1,1,0,2,0,0,0,0,0,4,0,0,0,0,3,1,2,0,0,0,1,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,3,12,0,0,3,0,0,1,0,0,1,0,0,1,3,0,0,1,14,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,6,0,0,0,0,2,2,0,0,7,0,2,0,1,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0
Boston Herald,Boston Herald,Lean Right,2.0,2025-01-13T17:44:43Z,student_loans,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Herald,Tribune News Service,Lean Right,2.0,2025-01-05T09:00:00Z,student_loans,0,0,1,2,0,1,4,16,1,1,0,1,0,1,0,0,0,0,0,0,0,6,2,0,0,0,1,0,1,0,14,3,1,0,0,0,0,0,0,0,0,4,4,0,0,1,0,2,4,0,0,1,0,3,0,0,0,0,0,1,0,0,11,9,11,7,0,1,0,0,1,4,0,2,2,0,6,0,7,1,0,0,3,1,0,3,1,0,0,0,0,1,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,1,0,1,3,0,2,0,1,0,10,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,14,0,1,7,0,0,2,0,2,0,8,10,0,26,1,1,0,1,0,0,0,0,3,0,0,5,0,2,1,0,0,1,1,0,2,0,0,0,1,1,1,0,4,0,0
