,source,author,Bias Specific,Bias Numeric,date,search,access,according,account,act,action,administration,agency,aid,american,balance,bank,based,benefit,biden,billion,borrower,budget,business,card,case,challenge,change,class,college,come,community,company,congress,consumer,cost,country,court,cr,credit,crore,cut,data,day,debt,december,decision,democrat,department,development,did,doe,dollar,don,donald,driven,earnings,economic,education,effort,employee,employment,end,enrollment,equity,example,executive,expected,expert,faculty,family,federal,finance,financial,forbearance,forgiveness,free,fund,funding,future,going,good,government,graduation,grant,group,growth,ha,health,help,high,higher,home,house,idr,including,income,increase,india,information,initiative,institution,investment,issue,job,just,know,law,legal,life,like,likely,ll,loan,location,long,look,low,lower,make,making,management,market,mean,median,memo,million,money,month,monthly,mortgage,musk,national,need,net,new,news,number,offer,office,opportunity,option,order,pause,pay,payment,people,personal,plan,policy,power,president,price,private,profit,program,provide,pslf,public,quarter,rate,ratio,relief,repayment,report,republican,research,right,risk,rule,said,save,saving,say,school,sector,security,service,social,spending,start,state,statement,student,support,tax,term,thing,think,time,total,trump,undergraduate,university,use,ve,wa,want,washington,way,week,white,work,worker,working,year
0,CNET,Dashia Milden,Center,0.0,2025-01-13T19:26:22Z,student_loan_forgiveness,0,0,0,0,0,4,0,0,0,2,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,CNET,Elaine Rubin,Center,0.0,2024-12-23T23:30:03Z,student_loan_forgiveness,0,0,3,0,2,3,0,2,0,4,0,1,1,2,1,8,2,0,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,1,0,3,0,0,3,1,1,0,2,1,0,1,0,0,1,0,0,3,0,0,5,16,0,0,0,1,0,1,0,1,0,0,0,3,0,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,1,0,4,0,3,0,2,2,3,31,0,1,0,0,0,3,0,0,0,1,0,0,2,0,5,4,0,0,0,2,0,1,0,1,1,0,1,3,0,2,6,17,0,0,14,0,0,0,0,0,0,9,0,7,3,0,1,0,3,14,0,0,0,0,1,1,1,6,2,2,2,0,0,3,0,0,2,1,1,17,0,2,0,0,2,2,4,0,0,0,1,3,1,1,0,3,0,1,1,0,1,5
2,Time,Chad De Guzman,Lean Left,-2.3,2025-01-14T10:45:36Z,student_loan_forgiveness,3,5,0,4,1,16,0,1,3,0,0,1,7,34,4,2,0,3,0,0,0,0,1,0,0,1,3,1,3,2,2,1,0,5,0,1,0,7,4,1,3,0,6,0,0,0,0,1,1,0,0,0,2,2,1,0,4,0,0,0,1,1,0,0,3,2,1,1,0,2,0,1,0,1,1,0,0,0,0,2,1,14,1,2,0,1,1,5,0,2,0,3,0,1,1,0,0,0,0,1,1,2,0,0,1,1,0,7,0,1,0,1,1,2,1,0,0,1,0,0,5,0,2,1,0,0,5,4,0,4,0,2,0,3,1,0,2,0,1,2,2,0,2,8,0,8,0,0,0,1,1,0,1,0,0,0,2,1,2,0,1,1,1,3,15,0,0,2,0,1,10,4,5,0,0,2,8,4,1,1,4,0,0,3,1,15,0,0,1,1,1,1,1,1,0,5,0,1,2,2
3,Yahoo Entertainment,Heather Altamirano,Lean Left,-1.95,2025-01-14T14:00:30Z,student_loan_forgiveness,0,3,0,1,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,4,7,0,1,0,0,0,1,5,1,0,0,2,0,3,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,3,1,0,1,3,2,1,0,1,0,0,2,0,0,2,0,0,0,0,1,2,1,0,1,3,0,2,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,1,0,0,4,0,0,1,0,0,0,2,3,0,1,2,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,3,0,3,6,0,6,11,0,0,2,0,0,2,0,6,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3,1,6,0,4,0,16,0,1,0,0,0,1,0,3,0,2,0,0,0,2
4,CNET,Elaine Rubin,Center,0.0,2025-01-14T19:00:07Z,student_loan_forgiveness,0,0,3,0,2,3,0,2,0,4,0,1,1,2,1,8,2,0,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,1,0,3,0,0,3,1,1,0,2,1,0,1,0,0,1,0,0,3,0,0,5,16,0,0,0,1,0,1,0,1,0,0,0,3,0,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,1,0,4,0,3,0,2,2,3,31,0,1,0,0,0,3,0,0,0,1,0,0,2,0,5,4,0,0,0,2,0,1,0,1,1,0,1,3,0,2,6,17,0,0,14,0,0,0,0,0,0,9,0,7,3,0,1,0,3,14,0,0,0,0,1,1,1,6,2,2,2,0,0,3,0,0,2,1,1,17,0,2,0,0,2,2,4,0,0,0,1,3,1,1,0,3,0,1,1,0,1,5
5,CNET,Mike De Socio,Center,0.0,2025-01-11T14:00:08Z,student_loan_forgiveness,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,1,0,1,0,4,0,0,0,1,0,0,0,0,7,4,0,0,0,4,0,2,0,1,1,0,1,1,1,1,4,16,0,0,3,0,0,0,0,0,0,14,0,17,3,0,0,0,4,2,0,0,0,0,0,0,5,3,1,0,0,0,0,3,0,0,1,0,0,3,0,0,1,0,0,2,2,0,0,0,1,2,1,0,0,0,0,2,0,0,0,7
6,NPR,Cory Turner,Lean Left,-2.0,2025-01-16T10:00:00Z,student_loan_forgiveness,1,2,0,1,1,9,0,7,4,0,0,0,0,37,4,10,0,0,1,0,3,1,0,4,2,3,0,7,0,0,2,9,0,0,0,0,0,1,6,0,1,1,16,0,5,0,3,0,1,1,0,0,27,8,0,0,2,0,0,1,3,0,8,0,1,7,0,4,0,17,1,0,6,2,3,0,1,0,1,1,1,6,0,4,3,0,0,1,0,3,3,0,0,1,0,0,0,1,1,4,4,1,2,0,2,5,1,19,0,1,2,2,2,5,0,0,0,2,0,0,4,5,2,0,0,0,2,3,0,3,1,1,0,4,0,0,2,1,2,0,3,0,7,2,1,9,1,0,0,4,2,0,2,0,0,0,4,3,1,3,1,3,0,1,4,2,0,16,16,0,0,5,0,0,2,1,0,29,1,0,2,5,5,7,1,3,0,1,0,1,26,1,1,4,4,1,5,0,0,11
7,Al Jazeera English,Al Jazeera,Lean Left,-2.3,2024-12-20T13:33:49Z,student_loan_forgiveness,0,1,0,0,1,2,0,0,2,0,0,0,0,6,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,2,0,1,4,0,0,0,0,0,0,3,0,1,0,2,0,0,0,1,0,0,2,3,1,0,0,0,0,0,3,0,0,1,1,2,6,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2
8,Al Jazeera English,Somdeep Sen,Lean Left,-2.3,2024-12-23T11:08:46Z,student_loan_forgiveness,3,0,0,0,0,5,1,1,10,0,0,2,0,2,0,0,0,0,0,0,0,2,0,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,19,2,0,0,1,0,1,2,0,3,0,1,0,4,0,1,0,2,0,1,2,2,0,0,0,0,0,1,0,11,0,1,0,15,0,2,0,0,2,0,0,0,2,10,0,0,0,0,0,2,0,0,0,4,0,4,0,0,0,2,0,2,1,0,0,1,0,0,2,2,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,3,2,1,4,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,2,0,0,1,0,0,8,1,6,0,1,3,0,0,3,0,20,0,16,0,0,0,1,0,2,0,2,1,0,0,1
9,The New Republic,Robert Mccoy,Left,-4.0,2024-12-20T15:20:06Z,student_loan_forgiveness,1,1,0,0,1,6,0,0,0,1,0,0,0,7,2,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,2,0,2,2,0,0,0,3,0,2,6,0,0,0,2,0,0,2,0,0,0,0,2,1,0,1,0,0,0,6,0,0,1,0,3,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,3
