,source,author,Bias Specific,Bias Numeric,date,search,accept,access,accord,account,act,action,addit,administr,agenc,aid,allow,american,ani,anoth,balanc,bank,base,becaus,befor,benefit,biden,billion,borrow,budget,busi,card,challeng,chang,colleg,come,commun,compani,congress,consid,consum,continu,cost,countri,court,creat,credit,crore,current,cut,data,day,debt,democrat,depart,develop,don,dure,earn,econom,educ,effect,effort,employ,end,enrol,equiti,execut,expect,expens,faculti,famili,feder,financ,financi,forgiv,free,fund,futur,gener,good,govern,graduat,grant,growth,ha,health,help,hi,high,higher,home,hous,howev,idr,impact,import,includ,incom,increas,india,inform,initi,institut,invest,issu,job,just,know,law,legal,like,limit,live,loan,locat,long,look,lower,major,make,manag,mani,market,mean,million,money,month,monthli,nation,need,new,news,number,offer,offic,onli,opportun,option,order,paus,pay,payment,peopl,person,plan,polici,power,presid,privat,process,profit,program,project,propos,provid,pslf,public,qualifi,quarter,rate,receiv,relief,remain,repay,report,republican,requir,research,right,rs,rule,said,save,say,school,sector,secur,servic,set,share,sinc,social,spend,start,state,student,support,tax,term,thi,think,time,total,tri,trump,undergradu,univers,use,wa,want,way,week,white,work,year
0,CNET,Dashia Milden,Center,0.0,2025-01-13T19:26:22Z,student_loan_forgiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.082110678792571,0.2308938139617352,0.0,0.0,0.0,0.0,0.0,0.0,0.1737406732028461,0.0,0.0,0.0,0.0678718248194462,0.0,0.0746537903432492,0.1642213575851421,0.4324017572463838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083375730206419,0.0,0.0,0.0767670983448057,0.0,0.0,0.0,0.0,0.0,0.0,0.0718748870328463,0.0,0.0,0.0,0.0658496492368103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0585321722038985,0.0,0.0,0.0,0.0,0.1034280167689063,0.0,0.0,0.0844181033600991,0.0,0.0,0.0,0.0,0.0,0.0,0.53736968841364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658496492368103,0.0,0.0,0.0,0.0,0.0,0.0756961634969293,0.0,0.0,0.0,0.0,0.0660142249610811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2854530351398379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065360039368141,0.0,0.0,0.0,0.0,0.0,0.0531938884126584,0.0877231706543315,0.0,0.0,0.0683941489855227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0582607358577171,0.0,0.0,0.058805506721764,0.0,0.0,0.0,0.1867317411468443,0.0,0.0,0.0,0.1153950629231807,0.0633065295942635,0.0,0.0,0.0,0.0,0.1709780764159509,0.0,0.0844181033600991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759080159221662,0.0,0.0,0.0645574099999346,0.0,0.1025782729382999,0.0,0.0,0.0,0.0,0.0,0.2043278788401583,0.0,0.0,0.0,0.0897559710134218,0.0,0.0,0.2556556232862464,0.0,0.065360039368141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0509993775376306
1,CNET,Elaine Rubin,Center,0.0,2024-12-23T23:30:03Z,student_loan_forgiveness,0.0,0.0,0.0,0.0670834219476953,0.0,0.0455125039163612,0.0,0.0821680260633337,0.0,0.0479170318175213,0.0,0.0,0.0524029329029319,0.0219795787155913,0.0989263621682544,0.0,0.022168724336876,0.019723845654512,0.038645600936919,0.0235192036169785,0.0425071905420027,0.0233765375670883,0.1846542265448842,0.0437104889342621,0.0,0.0,0.066889894458431,0.0,0.0238840821899695,0.0,0.0,0.0,0.0,0.0,0.0,0.021855244467131,0.0209645452672019,0.0,0.0229591961752288,0.0,0.0,0.0,0.0204624541114568,0.0,0.0,0.0211370727459006,0.0937354812918167,0.0,0.0388434297856142,0.0,0.0207946518989353,0.0388434297856142,0.0269379603757827,0.0,0.0499915312792973,0.0,0.0233765375670883,0.0295684472947509,0.0407077787061651,0.1766729216010228,0.0,0.0,0.0,0.0,0.0,0.0,0.0472033173940725,0.0,0.0,0.3496839114740969,0.0,0.0,0.0236637225244627,0.0,0.0216713097096591,0.0,0.0584071374435199,0.0,0.0,0.0405334416727952,0.0,0.0187470962583633,0.0,0.0,0.0,0.0,0.0182443175435666,0.0431007083534309,0.0350486268640078,0.0,0.0485226637173939,0.0156279521994234,0.0939697511004227,0.0,0.0,0.0,0.0235912284604558,0.0,0.0,0.0,0.0233765375670883,0.0,0.0929427098604053,0.0,0.0935061502683532,0.0635121025313438,0.0,0.0,0.3598975268660278,0.0,0.0219795787155913,0.0439591574311827,0.0,0.0,0.0459434169890354,0.0,0.0356984124692354,0.0,0.0207946518989353,0.0372154131020034,0.0,0.1025856814138246,0.1043696177619168,0.0,0.0360461632777582,0.0151440585938807,0.0,0.0222966314861437,0.0222966314861437,0.0,0.0185616286405723,0.0252226025226892,0.0699176539040957,0.0,0.0536815474729319,0.1100043500894022,0.3432810459476965,0.0,0.0,0.232211938896101,0.0,0.0,0.0,0.0,0.0,0.0,0.1594850374911997,0.0,0.0,0.0,0.2299671546019444,0.0540692449166374,0.1652376574314746,0.0,0.0245726192745941,0.021855244467131,0.0730150234767196,0.0228234896217739,0.3364683121588738,0.0,0.0,0.043221335201243,0.0,0.0,0.0,0.0250565128801369,0.0154527076411193,0.1628311148246604,0.0377765083396255,0.043221335201243,0.0,0.0,0.0735168064514372,0.0229591961752288,0.0,0.0423903629827202,0.0,0.0,0.0417019906155153,0.0181110488911989,0.1977821469779979,0.0,0.0491452385491883,0.0,0.102212470247199,0.0488317742272405,0.0313976602853421,0.0970453274347879,0.0,0.0,0.0,0.0,0.0178061586007834,0.0149429483104053,0.019723845654512,0.0607391206379146,0.0,0.0234476419589774,0.0687186519736247,0.0725964565411926
2,Time,Chad De Guzman,Lean Left,-2.3,2025-01-14T10:45:36Z,student_loan_forgiveness,0.0,0.0623508948231421,0.0891869180444377,0.0,0.0727375148603599,0.0193091367950904,0.0396709231826037,0.2231079048841848,0.0,0.020329281901948,0.0377294355286844,0.0518120516357072,0.0296432939761245,0.0,0.0,0.0,0.0188106078092314,0.0,0.032791568505691,0.1396956161983426,0.6131594822293482,0.0793418463652075,0.0348184043537102,0.0,0.0625510828222632,0.0,0.0,0.0,0.0,0.0158676978358909,0.0217636976788083,0.0720019131914821,0.0201410598289415,0.0,0.0749552610300591,0.0370892276884174,0.0355776753707233,0.0421068519999343,0.0194813390389379,0.0,0.104251804703772,0.0,0.0173628032563307,0.0422441931336793,0.0,0.1255466150110705,0.0636291506753747,0.0,0.0988782907702807,0.0,0.017644679750458,0.0494391453851403,0.0,0.0,0.0282792121726057,0.0,0.0396709231826037,0.0,0.0690827355142763,0.0,0.0,0.0193661893029679,0.0203928657201807,0.0,0.0,0.0598695497992897,0.0267019751881581,0.0212609543829814,0.0143055534390405,0.0370892276884174,0.0,0.0164797151283801,0.0200791437951035,0.0,0.0,0.0,0.0,0.01959791041248,0.0281621121500166,0.1605027166547157,0.023024522630094,0.0318145753376873,0.2260772811579727,0.0,0.0187033093667821,0.0232808866490231,0.0774033491607468,0.036571816619499,0.0,0.0,0.0,0.0265212625875609,0.0,0.0580985679089037,0.0,0.0215449505676162,0.020017631125912,0.0,0.0,0.017886180416853,0.0,0.0160673281328517,0.0197159389659048,0.0374066187335642,0.0198354615913018,0.0269456472483963,0.0211912702192719,0.0,0.0689568372579216,0.0,0.0186501139510033,0.0373002279020067,0.0429462934267983,0.0211220965668396,0.0389839119862731,0.0,0.0454362298547301,0.0,0.017644679750458,0.0789450635140795,0.0,0.0348184043537102,0.0221399291755038,0.1509177421147378,0.0764647336199612,0.0514001514062137,0.0,0.0378382791882298,0.0,0.0660878480227522,0.0,0.0214018847802271,0.0,0.0557916496509651,0.0,0.0155568167071533,0.0342683366495191,0.0305858934479845,0.0,0.0422221057740648,0.1426990688711003,0.0,0.1562619900112602,0.0,0.0,0.0,0.015036250801401,0.0,0.0720019131914821,0.0320541259831008,0.0,0.0152929467239922,0.0,0.0,0.0,0.0370892276884174,0.0413031425092799,0.0580985679089037,0.0203928657201807,0.0508654939343188,0.0,0.0183370854611944,0.0236339057584354,0.0179352307158672,0.0,0.0637828631489443,0.1966789914999482,0.0,0.0320541259831008,0.0,0.0297394637676229,0.2611015953140475,0.0623804866951598,0.0,0.0,0.0359690743067482,0.0971179431836554,0.0,0.0,0.0307351774084234,0.0394875585233411,0.017886180416853,0.0208503609407544,0.0681769691963111,0.0758881669999948,0.0,0.0399623179561544,0.0411724546337041,0.0,0.2368351905422385,0.0,0.0,0.0604355326790102,0.0126793917371729,0.0167360791473093,0.0171794545570201,0.0,0.0994789754789646,0.0291545781302515,0.0246398205252567
3,Yahoo Entertainment,Heather Altamirano,Lean Left,-1.95,2025-01-14T14:00:30Z,student_loan_forgiveness,0.0,0.0,0.1092383101333779,0.0,0.0371211168113252,0.0,0.0404915943664467,0.0284654164176336,0.0,0.0,0.0,0.1057677719507386,0.0,0.114215569753596,0.0428387450191162,0.0,0.0,0.0341645958173599,0.0334699266881251,0.0407387129059413,0.0,0.0,0.0,0.0378564914159281,0.0,0.0,0.0386210385213829,0.1425355076714271,0.0,0.0647838096777126,0.0,0.0,0.0,0.0,0.0510039054933681,0.0,0.1815683483065718,0.0429779151692895,0.0,0.0,0.0851267668988609,0.0,0.0,0.1293542924246998,0.0,0.0366125125786834,0.0,0.0,0.033641260990144,0.0,0.0,0.0,0.0,0.0478819496026079,0.0288642233765299,0.0,0.0,0.0512168908876543,0.0352559239835795,0.0510039054933681,0.0,0.0,0.1665178585151907,0.091666243927667,0.0,0.0407387129059413,0.0817630744153652,0.0868031164040794,0.0292029839777042,0.0378564914159281,0.0,0.067282521980288,0.0,0.0,0.0750757788346371,0.0,0.0,0.0,0.0574894018186552,0.0468065804236574,0.0470016604618702,0.0,0.1977892585814665,0.0420241879531037,0.1145413449599785,0.0,0.1264073438329577,0.0,0.0,0.0420241879531037,0.2101209397655185,0.0,0.0325538804312174,0.2372018048796396,0.0,0.0,0.0,0.0,0.0486163234553057,0.0,0.0,0.0327994249245667,0.0,0.0,0.0,0.1375153551760396,0.0,0.0,0.0402190544327978,0.0,0.0,0.038071856584532,0.0,0.0,0.1061076559742634,0.0,0.0618348903502919,0.0527775681155802,0.0,0.0644625581175734,0.104655719482166,0.0,0.0451958744367955,0.0,0.0312186228974433,0.0262317323891648,0.0,0.0,0.0,0.1011825079934914,0.0643029307088516,0.0,0.0,0.0,0.0,0.0317572802044315,0.0,0.09365586869233,0.0,0.1149214751859933,0.2184766202667558,0.0,0.1739940840610702,0.0,0.0,0.0,0.0613892210614829,0.0,0.097988552779166,0.0,0.0,0.0624372457948866,0.0,0.0,0.2553803006965828,0.0,0.0,0.0,0.0416294646287976,0.0346118312423605,0.0,0.0,0.0,0.0,0.0,0.0,0.0802990735311144,0.0,0.0,0.0,0.0,0.0,0.0,0.039768697816733,0.0,0.0367131654552496,0.0,0.0,0.0722339689284933,0.0627419901812821,0.0604566546720647,0.0,0.1276901503482914,0.0347936720444322,0.0663926256064061,0.0,0.1087707125728901,0.0,0.0,0.5157004649405872,0.0,0.0424271639279751,0.0,0.0,0.0341645958173599,0.105209072472209,0.0,0.0812295152203626,0.0,0.0502990874892596
4,CNET,Elaine Rubin,Center,0.0,2025-01-14T19:00:07Z,student_loan_forgiveness,0.0,0.0,0.0,0.0670834219476953,0.0,0.0455125039163612,0.0,0.0821680260633337,0.0,0.0479170318175213,0.0,0.0,0.0524029329029319,0.0219795787155913,0.0989263621682544,0.0,0.022168724336876,0.019723845654512,0.038645600936919,0.0235192036169785,0.0425071905420027,0.0233765375670883,0.1846542265448842,0.0437104889342621,0.0,0.0,0.066889894458431,0.0,0.0238840821899695,0.0,0.0,0.0,0.0,0.0,0.0,0.021855244467131,0.0209645452672019,0.0,0.0229591961752288,0.0,0.0,0.0,0.0204624541114568,0.0,0.0,0.0211370727459006,0.0937354812918167,0.0,0.0388434297856142,0.0,0.0207946518989353,0.0388434297856142,0.0269379603757827,0.0,0.0499915312792973,0.0,0.0233765375670883,0.0295684472947509,0.0407077787061651,0.1766729216010228,0.0,0.0,0.0,0.0,0.0,0.0,0.0472033173940725,0.0,0.0,0.3496839114740969,0.0,0.0,0.0236637225244627,0.0,0.0216713097096591,0.0,0.0584071374435199,0.0,0.0,0.0405334416727952,0.0,0.0187470962583633,0.0,0.0,0.0,0.0,0.0182443175435666,0.0431007083534309,0.0350486268640078,0.0,0.0485226637173939,0.0156279521994234,0.0939697511004227,0.0,0.0,0.0,0.0235912284604558,0.0,0.0,0.0,0.0233765375670883,0.0,0.0929427098604053,0.0,0.0935061502683532,0.0635121025313438,0.0,0.0,0.3598975268660278,0.0,0.0219795787155913,0.0439591574311827,0.0,0.0,0.0459434169890354,0.0,0.0356984124692354,0.0,0.0207946518989353,0.0372154131020034,0.0,0.1025856814138246,0.1043696177619168,0.0,0.0360461632777582,0.0151440585938807,0.0,0.0222966314861437,0.0222966314861437,0.0,0.0185616286405723,0.0252226025226892,0.0699176539040957,0.0,0.0536815474729319,0.1100043500894022,0.3432810459476965,0.0,0.0,0.232211938896101,0.0,0.0,0.0,0.0,0.0,0.0,0.1594850374911997,0.0,0.0,0.0,0.2299671546019444,0.0540692449166374,0.1652376574314746,0.0,0.0245726192745941,0.021855244467131,0.0730150234767196,0.0228234896217739,0.3364683121588738,0.0,0.0,0.043221335201243,0.0,0.0,0.0,0.0250565128801369,0.0154527076411193,0.1628311148246604,0.0377765083396255,0.043221335201243,0.0,0.0,0.0735168064514372,0.0229591961752288,0.0,0.0423903629827202,0.0,0.0,0.0417019906155153,0.0181110488911989,0.1977821469779979,0.0,0.0491452385491883,0.0,0.102212470247199,0.0488317742272405,0.0313976602853421,0.0970453274347879,0.0,0.0,0.0,0.0,0.0178061586007834,0.0149429483104053,0.019723845654512,0.0607391206379146,0.0,0.0234476419589774,0.0687186519736247,0.0725964565411926
5,CNET,Mike De Socio,Center,0.0,2025-01-11T14:00:08Z,student_loan_forgiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195818004330759,0.0,0.0,0.0264915858488769,0.0,0.0,0.0,0.0884083067811481,0.0,0.0,0.0,0.0230244804889115,0.0,0.0,0.0,0.1711333113237728,0.0,0.0,0.0,0.0,0.0,0.0,0.0222828925772799,0.0305626022424225,0.0,0.0,0.0269568812541379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243824582370201,0.0,0.0,0.0755589418560343,0.1116924414576969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019856145911317,0.0,0.0,0.0,0.0,0.0701727516664678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1302103312186117,0.0,0.0,0.0,0.0,0.0,0.0442349810706658,0.0,0.0,0.0,0.0482984564513341,0.0,0.0446769765830787,0.0,0.0,0.0,0.0,0.0434787839372484,0.0256787679446797,0.0,0.0,0.0,0.0,0.0447886361874139,0.0,0.0,0.0605108345326698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1521702044598246,0.0,0.0261902192758074,0.0,0.0,0.0,0.0729930984751859,0.0,0.0212685889585382,0.0,0.0247782953460739,0.0,0.0,0.1711333113237728,0.1243637655792652,0.0,0.1073788688709459,0.036090429250863,0.0,0.0265680100283152,0.0265680100283152,0.0,0.0663524716059987,0.0300545110224143,0.0277706063841181,0.0261159358410459,0.0319826762280809,0.087385297883817,0.3849822058678885,0.0,0.0,0.0592921958232647,0.0,0.0,0.0,0.0,0.0291863025922342,0.0,0.2956141658185209,0.0,0.0,0.0,0.6654822305369108,0.0644273213225675,0.1312615537889042,0.0,0.0,0.078126198731167,0.1160034047984749,0.0815873960417659,0.0572751058011522,0.0,0.0,0.0772519069378766,0.0,0.0,0.0,0.0,0.0920649587425386,0.0970123826612956,0.0,0.0,0.0,0.0,0.1095005792839893,0.0,0.0,0.0252555546233235,0.0,0.0,0.024845432494192,0.0,0.0415890682669372,0.0,0.0,0.0239351054034081,0.0456725145270385,0.0,0.0374125281590183,0.0578181783667832,0.0,0.0,0.0,0.0,0.0212172946646841,0.0178055775290614,0.0,0.0,0.0,0.0558790404813925,0.0204707809327853,0.1211053221760092
6,NPR,Cory Turner,Lean Left,-2.0,2025-01-16T10:00:00Z,student_loan_forgiveness,0.0,0.0154040031266094,0.0264407220131685,0.0281253695053615,0.0134775400117623,0.0143111660742343,0.0,0.1240190452254144,0.0,0.1054708000618004,0.0,0.0512013826044565,0.0219704333539929,0.0414681734696811,0.0,0.0,0.0,0.0744247070131812,0.0,0.0,0.494547963777278,0.0588050285219159,0.1290300991788736,0.0,0.0,0.0184414718385569,0.056088462490326,0.0129375687799379,0.0600817862940635,0.0235210161236148,0.0483911676388425,0.0,0.1044942809341183,0.0,0.0,0.0,0.0,0.0312079280513194,0.1299491599049806,0.0415864524643885,0.0,0.0,0.0128686208789398,0.0,0.0,0.0132928814000503,0.0707391028512445,0.0350330264766441,0.1954257759410858,0.0,0.0,0.0610705549815893,0.0,0.0,0.3248711656691123,0.0,0.1176100570438319,0.0,0.0256006913022282,0.0185179551719009,0.0,0.0430603533882938,0.0,0.0,0.0,0.0147909782997157,0.0692665559931929,0.0,0.0424108344609165,0.2611461079355663,0.0149739470313843,0.085498776974225,0.0297637294229767,0.0278833523395668,0.0,0.0116732118527981,0.0,0.0145251936219272,0.0208726401525404,0.0509821051731792,0.0,0.0589492523760371,0.1555909743579263,0.0457730846955807,0.0,0.0,0.0114736582613371,0.0,0.0,0.0,0.0152576948985269,0.0393130151199164,0.0354579493079264,0.0,0.0,0.0159682625332439,0.0,0.0157577758291573,0.0,0.0132565272645634,0.0147012571304789,0.0476338644691615,0.0584506868110799,0.0138621508214628,0.0588050285219159,0.0798841785299455,0.015706128691837,0.0,0.1387219092041198,0.0,0.0138227244898937,0.0414681734696811,0.0318300887308427,0.0,0.0481555480340221,0.0130422812873141,0.078576238578485,0.0,0.0261550731050483,0.0468087590524805,0.0633288079643815,0.0258060198357747,0.0,0.069908901608099,0.0340035760252812,0.02857181463449,0.015706128691837,0.0140221156225815,0.0140221156225815,0.048981690822287,0.0350196355583945,0.0,0.0,0.0275670380705806,0.0168798786025668,0.0230601906077026,0.0,0.0340035760252812,0.0139018005328728,0.0730178156769661,0.0264407220131685,0.0164663651867322,0.0947578803324522,0.0,0.0154040031266094,0.0,0.0445770900348903,0.0170026564068978,0.0,0.047514492768545,0.0,0.0226690506835208,0.0346387381302947,0.0,0.0,0.0137445319966087,0.0612245009303953,0.0287069022588625,0.0453431488649362,0.0251329906274244,0.0460646791890303,0.0543628807724446,0.0350330264766441,0.0398786442001509,0.0,0.0157577758291573,0.0388721773260467,0.0256006913022282,0.2138152174584526,0.2310422432828897,0.0,0.0,0.0693509125519002,0.0288775910899957,0.0183658153682544,0.0133294253752252,0.0,0.0140626847526807,0.0262259406523339,0.0113898470159691,0.2121829344681113,0.0132565272645634,0.0,0.025265032273593,0.0642803410356665,0.0921293583780607,0.0691097971797315,0.0152576948985269,0.0156039640256597,0.0351065692893604,0.0,0.0154040031266094,0.0223962094766981,0.2443340141359639,0.0124041178355302,0.0509309203905562,0.0584506868110799,0.0147459739301875,0.0864328662381961,0.1004413154379145
7,Al Jazeera English,Al Jazeera,Lean Left,-2.3,2024-12-20T13:33:49Z,student_loan_forgiveness,0.0,0.0,0.0626364196788895,0.0,0.0,0.0678045178852217,0.0,0.0979311250911305,0.0,0.0,0.0,0.1212928787404098,0.0,0.0654903426482409,0.0,0.0,0.0,0.117538322910504,0.1151484148060894,0.0,0.3799632162606162,0.069652720600696,0.0611328498469256,0.0,0.0732165651071553,0.0,0.0,0.0,0.0711650003259752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0624659494515098,0.0739296331528877,0.0684092103811493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3351530364179881,0.082991052510588,0.1157378655528213,0.0,0.0,0.0578689327764106,0.0,0.0,0.1489547436443368,0.0,0.0,0.0,0.0606464393702049,0.0,0.0,0.0,0.0716100591719094,0.0,0.0,0.0,0.0,0.0,0.0,0.2604795055144849,0.0,0.0,0.0,0.0,0.0,0.0,0.0870149399534591,0.0,0.0,0.0402578080652781,0.0,0.0,0.1134108628498431,0.0,0.0,0.0,0.108721520350518,0.0,0.0,0.0,0.0,0.0465650391972509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0564208255041558,0.0,0.065677139684217,0.0,0.0,0.0,0.0,0.2421436625976919,0.0,0.0,0.0,0.0,0.1483415431397018,0.0,0.0,0.0,0.0,0.0,0.1108870277898983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664350329377921,0.0,0.1740518512352865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1074031315504817,0.0,0.0988426552151624,0.0,0.0780155821696809,0.1995337800005599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1611046973257226,0.0,0.0,0.0732165651071553,0.0651198763786212,0.1450370202824599,0.0,0.0,0.0,0.0,0.064391135259476,0.082991052510588,0.0,0.0,0.2239751228160989,0.1381286417753934,0.0606464393702049,0.0,0.0,0.0,0.0,0.1642879820585596,0.0,0.0,0.0631531530391064,0.0,0.0,0.0621276160444904,0.1079273459197193,0.2079923274058825,0.0,0.0,0.0,0.0,0.0,0.0467762270844051,0.1445781065313744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692330139054967,0.1397291664282371,0.0,0.0865233474299176
8,Al Jazeera English,Somdeep Sen,Lean Left,-2.3,2024-12-23T11:08:46Z,student_loan_forgiveness,0.0391547844913994,0.1028984927014565,0.0,0.0,0.0,0.0,0.0,0.0862963774949166,0.0239702055716148,0.025162258753627,0.0700485504588883,0.2137652567860789,0.0183452676030235,0.0,0.0,0.0,0.0465650860951979,0.0,0.0202936320047394,0.0,0.0446428706761632,0.0,0.0,0.0,0.0,0.0,0.0,0.04321137550204,0.175588596936428,0.019640001092847,0.0269376850137245,0.0,0.0,0.0,0.0,0.0229533130724779,0.0,0.0260585570713518,0.0,0.0462994720724504,0.0,0.0,0.0214905450340697,0.0,0.0,0.0,0.0196890028050361,0.0,0.0407950323328073,0.0271217343487505,0.0,0.0407950323328073,0.0,0.0,0.367522719366699,0.0256426095669646,0.0491020803848602,0.0,0.0427530513572157,0.0,0.0318603609670378,0.0,0.0757228759659223,0.0,0.0465012655238194,0.0,0.0826249067918357,0.0,0.0177064806805834,0.0459066261449559,0.0,0.0815900646656147,0.0497053082504863,0.0,0.0,0.0,0.0306708376889721,0.0,0.0,0.1560898355269552,0.0,0.0196890028050361,0.1399118540991922,0.0,0.3472460405433785,0.0,0.0383219261629388,0.0226331042411747,0.0,0.0,0.0,0.0492394326754712,0.118429265044994,0.0239702055716148,0.0,0.0,0.0495530355134278,0.2631542216365139,0.0,0.0,0.0,0.0,0.0,0.0462994720724504,0.0,0.0667031281890127,0.0,0.0500128624571385,0.0487715851811149,0.0,0.0,0.0,0.0,0.0,0.0482517427501082,0.0,0.0562380008260124,0.0,0.0218394333674602,0.0390852195378813,0.0423035416868887,0.0,0.027403359813099,0.0,0.056785834998577,0.0159049384515498,0.0,0.0,0.0,0.0204498065947366,0.0389884335508472,0.0,0.0,0.0,0.0,0.0192552127151441,0.0212075556330638,0.0189286116661923,0.0,0.0522597677445865,0.0441558992609105,0.0274987635366612,0.0879140435989715,0.0,0.0,0.0,0.0744435608053685,0.0851831031426005,0.0297064234604807,0.019837252884738,0.0,0.056785834998577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0680893439405353,0.0,0.0221990583954372,0.0,0.0,0.0486872846703935,0.0,0.0,0.0453928959603569,0.0736191357987256,0.0,0.0,0.0241127304018505,0.0,0.0222600866867833,0.0240412507219256,0.0,0.0,0.171188987753608,0.0733126853598864,0.0,0.0258072163900441,0.0632887531971034,0.1073479106135698,0.0,0.0659503330980007,0.0,0.0,0.3908521953788131,0.0,0.4115939708058262,0.0,0.0,0.0207148268225561,0.0425272159533089,0.0,0.0492514341356557,0.0180428173091527,0.0152487811101687
9,The New Republic,Robert Mccoy,Left,-4.0,2024-12-20T15:20:06Z,student_loan_forgiveness,0.0,0.0656055567777703,0.0563054381066588,0.0,0.0,0.0609511703368463,0.0,0.2640981842896993,0.0,0.0,0.0,0.0,0.0,0.0,0.0662419888213865,0.0,0.0,0.1056581266893253,0.0,0.0,0.3984848012799628,0.1252251316038954,0.0549538417263629,0.0,0.0658161944146449,0.0,0.0597201061997068,0.0,0.0,0.0500879331848175,0.0,0.0,0.0635772163937727,0.0,0.0,0.0,0.0,0.0664571890455745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1506387070416469,0.0,0.0520198253579099,0.0,0.0,0.0,0.0,0.0,0.0892660866415614,0.0,0.0626125658019477,0.0,0.0,0.0,0.0,0.0,0.0643720662066679,0.0,0.0,0.0,0.0421436922658675,0.0,0.0,0.4097651544297707,0.0,0.0,0.0,0.0,0.0,0.0497161391550729,0.0,0.0,0.0,0.0723774932203932,0.0,0.0,0.0509739250068181,0.0,0.0,0.0,0.0488662416078446,0.0,0.0,0.0,0.0,0.0,0.0503383976971121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0590388170727197,0.0626125658019477,0.0,0.0,0.0,0.1865734035594598,0.0,0.0588709005634176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996791118021029,0.0,0.0549538417263629,0.0,0.0,0.0,0.0405623956283793,0.0668923077450769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540856705934235,0.0965473506783967,0.0,0.0888521252339531,0.0,0.1402603008195375,0.0896829429077001,0.0,0.0,0.0,0.1423901689986622,0.0,0.0,0.0,0.1759863899980631,0.2896420520351903,0.0,0.0,0.0,0.0,0.1303773908303477,0.0611312621329055,0.0,0.0,0.1307927946238524,0.0,0.0,0.0,0.0,0.0,0.0827781848548886,0.054516595230924,0.1011819696306394,0.0,0.0,0.0,0.2953651199378416,0.0,0.0,0.0567699425975044,0.0,0.0,0.0558480618439034,0.0,0.2181310656062074,0.0,0.0,0.0,0.0,0.0,0.0,0.0649824309133033,0.0,0.0996791118021029,0.0,0.0,0.0476926608088066,0.0,0.0,0.0,0.0,0.0628030143832736,0.0,0.1166669888334492
